Mountain,Height,Drop,Lon,Lat,Range,Region,Country,Firstascent
Crête des Crousas,2645,422,6.6606,44.7231,Central Cottian Alps,Hautes-Alpes,FR,0
Zimba,2643,578,9.7889,47.0914,Rätikon,Vorarlberg,AT,1848
Heiterwand,2639,745,10.7344,47.3144,Lechtal Alps,North Tyrol,AT,1890
Hocheck,2638,401,13.7242,47.2361,Niedere Tauern,Salzburg,AT,0
Kleiner Solstein,2637,516,11.3244,47.3025,Karwendel,North Tyrol,AT,1867
Birnhorn,2634,1665,12.7339,47.4747,Leoganger Steinberge,Salzburg,AT,1831
Crêt du Rey,2633,514,6.5994,45.6014,Beaufortain Massif,Savoy,FR,0
Urbeleskarspitze,2632,375,10.4686,47.3367,Allgäu Alps,North Tyrol,AT,1869
Großstein,2632,351,10.4944,47.2378,Lechtal Alps,North Tyrol,AT,0
Rüfispitze,2632,342,10.1822,47.1911,Lechtal Alps,Vorarlberg,AT,0
Monte Mongioie,2630,459,7.7856,44.1750,Ligurian Alps,Cuneo,IT,0
Munt Buffalora,2630,351,10.2500,46.6269,Ortler Alps,Graubünden,CH,0
Ultner Hochwart,2627,440,10.9997,46.5117,Ortler Alps,South Tyrol,IT,0
Blutspitze / Steinkarspitze,2626,430,13.6858,47.2497,Niedere Tauern,Salzburg/Styria,AT,0
Monte Pradella,2626,348,9.8506,45.9922,Bergamo Alps,Bergamo,IT,0
Cima d'Auta Orientale,2624,312,11.8861,46.4006,Dolomites - NW,Belluno,IT,0
Valschavielberge,2624,304,10.1267,47.0094,Verwall,Vorarlberg,AT,0
Le Rissiou,2622,522,6.0681,45.1836,Dauphiné Alps,Isère,FR,0
Greifenberg,2618,335,13.7897,47.2892,Niedere Tauern,Salzburg/Styria,AT,0
Monte Stelle delle Sute,2616,550,11.5333,46.2108,Fiemme Alps,Trentino,IT,0
Grande Balmaz,2616,305,6.4967,45.8933,Aravis Range,Savoy/U-Savoy,FR,0
Piz Cavradi,2614,351,8.6956,46.6325,Ticino Alps,Graubünden,CH,0
Pizzo dell'Alpe Gelato,2613,357,8.4442,46.2497,Ticino Alps,Ticino/V-C-O,CH/IT,0
Le Gros Têt,2613,342,6.2397,45.0753,Dauphiné Alps,Savoy,FR,0
Cima Bianca,2612,309,8.8125,46.3878,Ticino Alps,Ticino,CH,0
Monte le Stelière,2612,301,7.1072,44.2658,Maritime Alps,Cuneo,IT,0
Foostock / Ruchen,2611,388,9.2447,46.9567,Glarus Alps,Glarus/StGallen,CH,0
Monte Legnone,2609,624,9.4147,46.0947,Bergamo Alps,Lecco/Sondrio,IT,0
Sommet d'Assan,2609,358,6.7361,44.6856,Southern Cottian Alps,Hautes-Alpes,FR,0
Mittlere Jägerkarspitze,2608,323,11.3758,47.3536,Karwendel,North Tyrol,AT,1859
Hochkalter,2607,663,12.8667,47.5694,Berchtesgaden Alps,Bavaria,DE,1830
Cima del Rouss,2604,381,7.0000,44.3211,Maritime Alps,Cuneo,IT,0
Campanile Ciastelin,2602,395,12.3772,46.5108,Dolomites - NE,Belluno,IT,1890
Becco di Mezzodì,2602,325,12.1144,46.4667,Dolomites - NE,Belluno,IT,1872
Schafseitenspitze,2602,305,11.5544,47.1028,Tux Alps,North Tyrol,AT,0
Razor,2601,332,13.7919,46.4119,Julian Alps,West Slovenia,SI,1842
Monte Cabianca,2601,312,9.8669,46.0100,Bergamo Alps,Bergamo,IT,0
Monte Mars,2600,409,7.9153,45.6333,Biellese Alps,Aosta/Biella,IT,0
Silberpfennig,2600,374,13.0417,47.0892,Goldberg Group,Salzburg,AT,0
Großer Knallstein,2599,548,13.9769,47.3200,Niedere Tauern,Styria,AT,0
Vorder Grauspitz,2599,353,9.5811,47.0528,Rätikon,Graub./Liecht,CH/LI,0
Biberkopf,2599,337,10.2328,47.2706,Allgäu Alps,N-Tyrol/Bavaria,AT/DE,1853
Le Catogne,2598,1100,7.1108,46.0542,Mont Blanc massif,Valais,CH,0
Zellinkopf,2597,445,12.9514,46.8942,Goldberg Group,Carinthia,AT,0
Großer Hundstod,2594,475,12.8867,47.5125,Berchtesgaden Alps,Salzburg/Bavaria,AT/DE,1825
Roc du Bécoin,2594,328,6.6639,45.4928,Vanoise massif,Savoy,FR,0
Gametzalpenkopf,2594,306,12.1089,46.6892,Dolomites - NE,South Tyrol,IT,0
Pizzo Paglia,2593,498,9.2192,46.2317,Adula Alps,Graubünden,CH,0
Monte Forno / Monte Gorio,2593,339,8.3236,46.2953,Leone-Gotthard Alps,V-C-O,IT,0
Hochvogel,2592,572,10.4369,47.3797,Allgäu Alps,N-Tyrol/Bavaria,AT/DE,1832
Zwölferspitz,2592,360,12.7283,46.6617,Carnic Alps,Carinthia,AT,1896
Eggenkofel,2591,714,12.6781,46.7386,Gailtal Alps,East Tyrol,AT,0
Rupprechtseck,2591,417,14.0014,47.2394,Niedere Tauern,Salzburg/Styria,AT,0
Kanin,2587,1397,13.4383,46.3600,Julian Alps,Udine/Slovenia,IT/SI,0
Monte Terza Grande,2586,1277,12.6214,46.5269,Carnic Alps,Belluno,IT,0
Monte Cridola,2581,538,12.4867,46.4264,Carnic Prealps,Belluno,IT,1884
Hochspitz /M. Vancomun,2581,303,12.6686,46.6572,Carnic Alps,E-Tyrol/Belluno,AT/IT,0
Ruitelspitze,2580,322,10.4461,47.2556,Lechtal Alps,North Tyrol,AT,0
Mont Triboulet,2578,336,6.8658,44.2061,Maritime Alps,Alpes Maritimes,FR,0
Türchlwand,2577,475,13.0325,47.1508,Goldberg Group,Salzburg,AT,0
Plose (Große Gabler),2576,713,11.7631,46.6897,Dolomites - NW,South Tyrol,IT,0
Stätzerhorn,2575,1028,9.5122,46.7558,Plessur Alps,Graubünden,CH,0
Cima delle Buse,2574,318,11.4981,46.1861,Fiemme Alps,Trentino,IT,0
Pfannenstock,2573,373,8.9114,46.9617,Glarus Alps,Schwyz,CH,0
Westlicher Johanneskopf,2573,328,10.0225,47.2103,Lechquellen Alps,Vorarlberg,AT,0
Torrione dei Longerin,2571,536,12.5614,46.6292,Carnic Alps,Belluno,IT,0
Setsas,2571,403,11.9575,46.5194,Dolomites - NE,Belluno,IT,0
Kanjavec,2569,405,13.8097,46.3603,Julian Alps,West Slovenia,SI,1877
Tête du Collier,2567,903,5.9642,44.7172,Dauphiné Prealps,Hautes-Alpes,FR,0
Maurerkopf,2567,352,12.0339,46.7128,Dolomites - NE,South Tyrol,IT,0
Schiara,2565,964,12.1822,46.2300,Dolomites - SE,Belluno,IT,0
Hinter Planitzer,2562,317,12.6369,47.2178,Glockner Group,Salzburg,AT,0
Le Grand Galbert,2561,487,5.9597,45.0906,Taillefer Massif,Isère,FR,0
Grintovec,2558,1706,14.5361,46.3569,Kamnik Alps,East Slovenia,SI,1759
Kreuzjoch,2558,1051,11.9828,47.2514,Kitzbühel Alps,North Tyrol,AT,0
Monte Bo,2556,616,7.9989,45.7142,Biellese Alps,Biella,IT,0
Wolayer Seekopf / Monte Capolago,2554,585,12.8608,46.6061,Carnic Alps,Carinthia/Udine,AT/IT,0
Pizzo Tre Signori,2554,462,9.5283,46.0119,Bergamo Alps,Berg/Lecc/Sond,IT,0
Modeon del Buinz,2554,313,13.4711,46.4167,Julian Alps,Udine,IT,0
Namloser Wetterspitze,2553,722,10.6417,47.3231,Lechtal Alps,North Tyrol,AT,1876
Kirchlispitzen,2552,313,9.7694,47.0389,Rätikon,Vorarlb/Graub.,AT/CH,1891
Tàmer Piccolo,2550,846,12.1219,46.3106,Dolomites - SE,Belluno,IT,1892
Concarena (Cima della Bacchetta),2549,721,10.2800,46.0108,Bergamasque Prealps,Bergamo,IT,0
Monte Brentoni,2548,1017,12.5658,46.5128,Carnic Alps,Belluno,IT,0
Le Tarent,2548,1002,7.1475,46.3822,Vaud Alps,Vaud,CH,0
Cima Monfalcon di Montanaia,2548,499,12.4861,46.4044,Carnic Prealps,Bell./Pordenone,IT,0
Sass de Mura,2547,1178,11.9253,46.1636,Dolomites - S,Belluno/Trentino,IT,1881
Rosso di Ribia,2547,569,8.5297,46.2611,Ticino Alps,Ticino,CH,0
Prisojnik,2547,551,13.7700,46.4253,Julian Alps,West Slovenia,SI,0
Hochnissl,2547,360,11.6181,47.3672,Karwendel,North Tyrol,AT,0
Les Aiguillettes,2547,313,6.1250,45.1839,Dauphiné Alps,Isère,FR,0
Monte Cresto,2546,327,7.9100,45.6808,Biellese Alps,Aosta/Biella,IT,0
L'Aiguille Rouge,2545,351,6.6444,45.0461,Massif des Cerces,Hautes-Alpes,FR,0
Predigstuhl,2543,385,13.9114,47.2619,Niedere Tauern,Styria,AT,0
Monte Talvena,2542,602,12.1558,46.2661,Dolomites - SE,Belluno,IT,0
Giferspitz,2542,556,7.3533,46.4511,Bernese Prealps,Bern,CH,0
Mohnenfluh,2542,387,10.1022,47.2322,Lechquellen Alps,Vorarlberg,AT,0
Pöngertlekopf & Pfaffeneck,2539,632,10.0344,47.1742,Lechquellen Alps,Vorarlberg,AT,0
Östliche Karwendelspitze,2537,734,11.4219,47.4450,Karwendel,N-Tyrol/Bavaria,AT/DE,1870
Pizzo Cavregasco,2535,334,9.2764,46.2394,Adula Alps,Como/Sondrio,IT,0
Glogghüs,2534,554,8.2625,46.7606,Urner Alps,Bern/Obwalden,CH,0
Hochwang,2534,417,9.6331,46.8742,Plessur Alps,Graubünden,CH,0
Pointe de Comborsier,2534,403,6.5156,45.6103,Beaufortain Massif,Savoy,FR,0
Großer Widderstein,2533,845,10.1292,47.2847,Allgäu Alps,Vorarlberg,AT,1669
Cima Quarazza,2530,413,11.5700,46.1297,Fiemme Alps,Trentino,IT,0
Cima Coltorondo,2530,350,11.6381,46.2558,Fiemme Alps,Trentino,IT,0
Gurpitscheck,2526,660,13.6147,47.2108,Niedere Tauern,Salzburg,AT,0
Gamskofel,2526,467,12.9008,46.6308,Carnic Alps,Carinthia,AT,0
Mont Joly,2525,536,6.6931,45.8261,Beaufortain Massif,Upper Savoy,FR,0
Magerrain,2524,357,9.2200,47.0331,Glarus Alps,Glarus/StGallen,CH,0
Hocheisspitze,2523,410,12.8433,47.5469,Berchtesgaden Alps,Salzburg/Bavaria,AT/DE,1868
Hoher Göll,2522,789,13.0678,47.5942,Berchtesgaden Alps,Salzburg/Bavaria,AT/DE,1800
Presolana,2521,725,10.0553,45.9567,Bergamasque Prealps,Bergamo,IT,1870
Monte delle Scale,2521,580,10.3267,46.5025,Livigno Alps,Sondrio,IT,0
Tschuggen,2521,460,7.9497,46.6003,Bernese Prealps,Bern,CH,0
Hochjoch,2520,547,9.9881,47.0661,Verwall,Vorarlberg,AT,0
Dreispitz,2520,523,7.7597,46.5928,Bernese Prealps,Bern,CH,0
Steinwand / Creta Verde,2520,509,12.7922,46.6428,Carnic Alps,Carinthia/Udine,AT/IT,0
Cima di Bri,2520,313,8.8842,46.3053,Ticino Alps,Ticino,CH,0
Monte Seleron,2519,458,9.7289,46.1000,Bergamo Alps,Sondrio,IT,0
Großer Priel,2515,1710,14.0633,47.7169,Totes Gebirge,Upper Austria,AT,1817
Chaiserstock,2515,470,8.7286,46.9283,Glarus Alps,Schwyz/Uri,CH,0
Cima Busa Alta,2513,331,11.6094,46.2497,Fiemme Alps,Trentino,IT,0
Glanderspitze,2512,971,10.6617,47.1483,Ötztal Alps,North Tyrol,AT,0
Pizzo Arera,2512,691,9.8158,45.9347,Bergamasque Prealps,Bergamo,IT,0
Pizzo Alto,2512,320,9.4567,46.0775,Bergamo Alps,Lecco/Sondrio,IT,0
Großes Ochsenhorn,2511,1309,12.6608,47.5383,Loferer Steinberge,Salzburg,AT,0
Villanderer Berg,2509,426,11.4189,46.6586,Sarntal Alps,South Tyrol,IT,0
Mitterhorn,2506,335,12.6286,47.5494,Loferer Steinberge,Salzburg,AT,0
Dormillouse,2505,392,6.3869,44.4097,Provence Alps,A-d-H-Provence,FR,0
Breithorn,2504,327,12.9028,47.4569,Berchtesgaden Alps,Salzburg,AT,0
Cima di Pape / Cima di Sanson,2503,696,11.9281,46.3344,Dolomites - S,Belluno,IT,0
Piz Ledu,2503,375,9.3217,46.2325,Adula Alps,Como/Sondrio,IT,0
Säntis,2502,2015,9.3433,47.2494,Appenzell Alps,App/StG[Note 14],CH,1680
Großer Pleißlingkeil,2501,410,13.4914,47.2272,Niedere Tauern,Salzburg,AT,0
Marchkopf,2499,372,11.8061,47.2511,Tux Alps,North Tyrol,AT,0
Castello di Moschesin,2499,314,12.1328,46.2972,Dolomites - SE,Belluno,IT,1885
