Mountain,Height,Drop,Lon,Lat,Range,Region,Country,Firstascent
Pizzo Gallina,3061,378,8.3919,46.4947,Leone-Gotthard Alps,Ticino/Valais,CH,0
Seeköpfe,3061,330,10.2675,47.0444,Verwall,North Tyrol,AT,1886
Piz Grisch,3060,544,9.4728,46.5311,Oberhalbstein Range,Graubünden,CH,1861
Grand Queyron,3060,295,7.0017,44.8428,Central Cottian Alps,H-Alpes/Turin,FR/IT,0
Grabspitze,3059,415,11.6144,46.9386,Zillertal Alps,South Tyrol,IT,1852
Monte Vago,3059,388,10.0789,46.4408,Livigno Alps,Sondrio,IT,0
Sasso Vernale,3058,356,11.8406,46.4189,Dolomites - NW,Belluno/Trentino,IT,0
Bruschghorn,3056,577,9.3067,46.6311,Adula Alps,Graubünden,CH,0
Patteriol,3056,465,10.1875,47.0442,Verwall,North Tyrol,AT,1860
Aiguille des Corneillets,3055,325,6.6614,45.3225,Vanoise massif,Savoy,FR,0
Innere Wetterspitze,3053,293,11.2464,46.9964,Stubai Alps,North Tyrol,AT,1874
Piz Forun,3052,458,9.8650,46.6553,Albula Alps,Graubünden,CH,1847
Grand Muveran,3051,1013,7.1261,46.2372,Vaud Alps,Valais/Vaud,CH,0
Mont Pelat,3051,770,6.7058,44.2650,Maritime Alps,A-d-H-Provence,FR,0
Pizzo Coca,3050,1878,10.0114,46.0717,Bergamo Alps,Bergamo/Sondrio,IT,1877
Piz Minor,3049,584,10.0283,46.4511,Livigno Alps,Graubünden,CH,0
Gross Lohner,3049,560,7.6000,46.4619,Bernese Alps,Bern,CH,1875
Le Rochail (Pointe de Malhaubert),3049,558,6.0325,44.9753,Massif des Écrins,Isère,FR,0
Rosenspitze,3049,418,12.2544,46.9883,Venediger Group,East Tyrol,AT,1894
Aiguille du Fruit,3048,519,6.6314,45.3556,Vanoise massif,Savoy,FR,0
Grand Bérard,3046,938,6.6597,44.4494,Southern Cottian Alps,A-d-H-Provence,FR,1820
Grand Argentier / Punta Nera,3046,505,6.6586,45.1222,Northern Cottian Alps,Savoy/Turin,FR/IT,0
Piz Murtera,3044,449,10.0403,46.7753,Silvretta,Graubünden,CH,0
Gross Wendenstock,3042,346,8.3803,46.7617,Urner Alps,Bern,CH,1873
Monte Albergian,3041,428,6.9928,45.0075,Central Cottian Alps,Turin,IT,1822
Piz Gannaretsch,3040,934,8.7867,46.6119,Leone-Gotthard Alps,Graubünden,CH,0
Alperschällihorn,3039,425,9.3067,46.5867,Adula Alps,Graub./Ticino,CH,1893
Punta Scais,3039,393,9.9844,46.0686,Bergamo Alps,Bergamo/Sondrio,IT,1881
Bric Ghinivert,3037,347,6.9911,44.9514,Central Cottian Alps,Turin,IT,0
Parseierspitze,3036,1243,10.4783,47.1744,Lechtal Alps,North Tyrol,AT,1869
Hexenkopf,3035,371,10.4694,47.0211,Samnaun Alps,North Tyrol,AT,1853
Piz Umbrail,3033,294,10.4144,46.5508,Ortler Alps,Graub./Sondrio,CH/IT,1865
Tête de Siguret,3032,706,6.7883,44.4417,Maritime Alps,A-d-H-Provence,FR,0
Pizzo Ligoncio,3032,506,9.5478,46.2389,Bregaglia Range,Sondrio,IT,0
Becca di Vlou,3032,483,7.7922,45.6917,Monte Rosa Alps,Aosta Valley,IT,0
Piz S-chalembert,3031,722,10.4133,46.8008,Sesvenna Range,Graubünden,CH,0
Mont Ténibre / M. Tenibres,3031,525,6.9722,44.2839,Maritime Alps,A-Marit/Cuneo,FR/IT,1836
Piz Cotschen,3031,296,10.1769,46.8131,Silvretta,Graubünden,CH,0
Bric Rosso / Monte Politri,3030,317,7.0186,44.9911,Central Cottian Alps,Turin,IT,0
Piz Por,3028,733,9.3842,46.5094,Oberhalbstein Range,Graubünden,CH,1894
Bündner Vorab,3028,408,9.1567,46.8739,Glarus Alps,Glarus/Graub.,CH,1842
Corno di Ban,3028,311,8.3611,46.4178,Leone-Gotthard Alps,V-C-O,IT,0
Zehner/Sas dales Diesc,3026,493,11.9606,46.6222,Dolomites - NE,South Tyrol,IT,1887
Furchetta / Furcheta,3025,904,11.7733,46.6122,Dolomites - NW,South Tyrol,IT,1878
Sas Rigais,3025,904,11.7667,46.6092,Dolomites - NW,South Tyrol,IT,1878
Piz Corbet,3025,672,9.2803,46.3797,Adula Alps,Graub./Sondrio,CH/IT,1892
Corno Bussola/Mont de Boussolaz,3024,356,7.7361,45.7956,Monte Rosa Alps,Aosta Valley,IT,0
Wendenhorn,3023,311,8.4436,46.7539,Urner Alps,Bern/Uri,CH,1884
Wurmaulspitze,3022,414,11.6378,46.9139,Zillertal Alps,South Tyrol,IT,0
Pointe de la Vallaisonnay,3020,400,6.8178,45.4581,Vanoise massif,Savoy,FR,0
Pic du Mas de la Grave,3020,364,6.2461,45.1208,Dauphiné Alps,H-Alpes/Savoy,FR,0
Le Cimet,3020,342,6.7050,44.2900,Maritime Alps,A-d-H-Provence,FR,0
Viso Mozzo,3019,361,7.1100,44.6747,Southern Cottian Alps,Cuneo,IT,0
Piz Blas,3019,312,8.7281,46.5772,Leone-Gotthard Alps,Graub./Ticino,CH,1871
Gamspleisspitze,3015,328,10.2419,46.9317,Silvretta,N-Tyrol/Graub.,AT/CH,1853
Hochreichkopf,3010,367,10.9697,47.1703,Stubai Alps,North Tyrol,AT,1890
Cima dell'Uomo,3010,327,11.8083,46.4061,Dolomites - NW,Trentino,IT,0
Monte Giove,3009,516,8.3881,46.3614,Leone-Gotthard Alps,V-C-O,IT,0
Acherkogel,3008,365,10.9567,47.1892,Stubai Alps,North Tyrol,AT,1881
Älplihorn,3006,426,9.8258,46.7108,Albula Alps,Graubünden,CH,0
Monte Avic,3006,392,7.5547,45.6769,Gran Paradiso Alps,Aosta Valley,IT,0
Ritterkopf,3006,349,12.9494,47.1025,Goldberg Group,Salzburg,AT,1885
Furgler,3004,319,10.5122,47.0403,Samnaun Alps,North Tyrol,AT,0
Kesselkogel / Catinaccio d'Antermoia,3002,814,11.6436,46.4744,Dolomites - NW,S-Tyrol/Trentino,IT,1872
Pizzas d'Anarosa / Grauhörner,3002,366,9.3158,46.5989,Adula Alps,Graub./Ticino,CH,1894
Gigalitz,3001,300,11.8911,47.0578,Zillertal Alps,North Tyrol,AT,1884
Große Zinne/Cima Grande di Lavaredo,2999,545,12.3028,46.6189,Sexten Dolomites,Belluno/S-Tyrol,IT,1869
Pizzo Centrale,2999,451,8.6150,46.5781,Leone-Gotthard Alps,Ticino/Uri,CH,0
Cima Falkner,2999,343,10.9047,46.1933,Brenta Dolomites,Trentino,IT,1882
Piz Beverin,2998,396,9.3578,46.6525,Adula Alps,Graubünden,CH,1707
Pic d'Artsinol,2998,296,7.4269,46.1150,Grand Combin Alps,Valais,CH,0
Bric Bouchet /Bric Bucie,2997,338,7.0239,44.8219,Central Cottian Alps,H-Alpes/Turin,FR/IT,1876
